artist_name	artist_page_url	gender	born	position	genres	site	booking	external_links
Detroit Swindle	/artist/62721:Detroit-Swindle	man	Nederland	DJ, live act, groep	deephouse, disco, house	http://www.detroitswindle.com/		{'soundcloud': 'https://partyflock.nlhttps://www.soundcloud.com/detroitswindle', 'itunes': 'https://partyflock.nlhttps://itunes.apple.com/artist/detroit-swindle/id516390097', 'spotify': 'https://partyflock.nlhttps://open.spotify.com/artist/6hJtgCB3L5cnJSND7sp6GU', 'twitter': 'https://partyflock.nlhttps://twitter.com/detroitswindle', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/139429466097238', 'instagram': 'https://partyflock.nlhttps://www.instagram.com/detroitswindle/'}
Monkey Safari	/artist/71865:Monkey-Safari	man	Duitsland	DJ, groep	deephouse, house	http://www.monkeysafari.de/	http://jackmode.de/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/monkeysafari', 'twitter': 'https://partyflock.nlhttps://twitter.com/monkeysafari', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/10150092506135602'}
Point G	/artist/76402:Point-G	man	Frankrijk	DJ, live act			http://rt-agency.com/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/point-g-3', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/343126162422994', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/pointgofc'}
Andy C	/artist/1351:Andy-C	man	Verenigd Koninkrijk	DJ	drum & bass, electro, jungle	http://www.andyc.cc/		{'soundcloud': 'https://partyflock.nlhttps://www.soundcloud.com/andyc_ram', 'twitter': 'https://partyflock.nlhttps://twitter.com/andyc_ram', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/22269741892', 'youtube': 'https://partyflock.nlhttps://www.youtube.com/user/andycofficial'}
Shonky	/artist/63328:Apollonia	man	Frankrijk	DJ, groep	deephouse, techhouse, techno		http://www.lola-ed.com/labels/apollonia	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/apolloniamusic', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/260937733979247'}
Lauren Ritter	/artist/84754:Lauren-Ritter	vrouw	Verenigde Staten	DJ	deephouse, techno			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/laurenritter', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/272703182821638'}
Cashmere Cat	/artist/73469:Cashmere-Cat	man	Noorwegen	DJ	house	http://www.cashmerecat.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/cashmerecat', 'twitter': 'https://partyflock.nlhttps://twitter.com/CASHMERECAT', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/114072805335396', 'instagram': 'https://partyflock.nlhttps://instagram.com/CashmereCat', 'itunes': 'https://partyflock.nlhttps://itunes.apple.com/artist/cashmere-cat/id567455167'}
Redshape	/artist/35055:Redshape	man	Duitsland	live act, DJ		http://www.shapedworld.com/		{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/redshape', 'twitter': 'https://partyflock.nlhttps://www.twitter.com/redshape', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/195259385225'}
The Drifter	/artist/75138:The-Drifter	man	Ierland	DJ			http://sweatlodgeagency.com/	{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/thedriftersound', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/183783148336832'}
Karizma	/artist/44483:Karizma	man	Verenigde Staten	DJ, producer	funk, groove, house			{'soundcloud': 'https://partyflock.nlhttps://soundcloud.com/kaytronik', 'twitter': 'https://partyflock.nlhttps://twitter.com/KAYTRONIK', 'facebook': 'https://partyflock.nlhttps://www.facebook.com/557125543'}
